Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.56,-.39,-.27,-.37,-.12,-.23,-.24,-.25,-.27,-.33,-.38,-.50,-.33,***,***,-.25,-.24,-.33
1881,-.20,-.26,.00,-.03,-.07,-.37,-.07,-.03,-.24,-.41,-.43,-.29,-.20,-.22,-.32,-.03,-.16,-.36
1882,.22,.21,.00,-.36,-.32,-.39,-.37,-.14,-.17,-.54,-.33,-.43,-.22,-.21,.05,-.23,-.30,-.35
1883,-.60,-.69,-.17,-.29,-.33,-.27,-.10,-.27,-.34,-.22,-.42,-.26,-.33,-.34,-.57,-.26,-.21,-.33
1884,-.24,-.13,-.66,-.64,-.43,-.53,-.48,-.51,-.46,-.42,-.49,-.40,-.45,-.44,-.21,-.57,-.51,-.45
1885,-1.01,-.38,-.21,-.54,-.56,-.48,-.39,-.45,-.33,-.30,-.28,.00,-.41,-.44,-.60,-.44,-.44,-.30
1886,-.68,-.69,-.57,-.35,-.35,-.44,-.20,-.47,-.35,-.32,-.45,-.17,-.42,-.40,-.46,-.42,-.37,-.37
1887,-1.07,-.59,-.36,-.42,-.27,-.20,-.22,-.52,-.17,-.40,-.19,-.44,-.40,-.38,-.61,-.35,-.31,-.26
1888,-.53,-.60,-.58,-.25,-.16,-.05,.02,-.21,-.14,.02,-.03,-.27,-.23,-.25,-.52,-.33,-.08,-.05
1889,-.32,.33,.06,.14,-.06,-.13,-.11,-.18,-.28,-.34,-.62,-.56,-.17,-.15,-.08,.05,-.14,-.41
1890,-.65,-.58,-.45,-.37,-.50,-.22,-.25,-.39,-.41,-.08,-.70,-.42,-.42,-.43,-.60,-.44,-.29,-.40
1891,-.60,-.72,-.12,-.34,-.22,-.16,-.15,-.10,-.03,-.27,-.56,-.02,-.27,-.31,-.58,-.23,-.14,-.29
1892,-.45,-.17,-.56,-.48,-.29,-.12,-.39,-.29,-.12,-.23,-.81,-.66,-.38,-.33,-.21,-.44,-.27,-.39
1893,-1.47,-.90,-.29,-.30,-.43,-.22,-.13,-.34,-.23,-.24,-.25,-.64,-.46,-.46,-1.01,-.34,-.23,-.24
1894,-.87,-.44,-.20,-.60,-.35,-.48,-.25,-.23,-.28,-.25,-.47,-.31,-.39,-.42,-.65,-.38,-.32,-.33
1895,-.73,-.78,-.39,-.24,-.31,-.26,-.19,-.25,.01,-.05,-.06,-.25,-.29,-.30,-.61,-.31,-.23,-.03
1896,-.44,-.22,-.49,-.61,-.22,.01,-.02,-.07,-.05,.14,-.25,-.19,-.20,-.21,-.30,-.44,-.03,-.05
1897,-.38,-.35,-.39,-.06,.06,-.14,-.01,-.10,-.04,-.15,-.27,-.29,-.18,-.17,-.31,-.13,-.08,-.15
1898,.04,-.43,-.77,-.31,-.32,-.12,-.14,-.17,-.17,-.37,-.47,-.27,-.29,-.29,-.23,-.47,-.15,-.34
1899,-.14,-.68,-.53,-.21,-.27,-.39,-.21,-.04,-.01,.05,.37,-.49,-.21,-.20,-.36,-.34,-.22,.14
1900,-.61,-.06,.11,-.15,-.04,-.16,-.15,-.09,.01,.24,-.16,-.01,-.09,-.13,-.39,-.03,-.13,.03
