Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.03,.03,.05,-.02,-.12,-.24,-.18,.06,-.05,-.15,-.02,.04,-.05,***,***,-.03,-.12,-.07
1881,-.11,-.09,.06,.10,.09,-.04,-.07,-.02,-.04,-.02,-.01,.07,-.01,-.01,-.05,.09,-.04,-.03
1882,.07,.08,.07,-.01,.00,-.14,-.04,.03,-.03,.02,.00,-.08,.00,.01,.07,.02,-.05,.00
1883,-.04,-.10,-.09,-.06,-.07,.01,-.06,-.04,-.08,-.07,-.04,-.05,-.06,-.06,-.07,-.08,-.03,-.06
1884,-.08,-.05,-.09,-.23,-.32,-.30,-.22,-.04,-.10,-.08,-.13,-.17,-.15,-.14,-.06,-.21,-.18,-.10
1885,-.20,-.24,-.30,-.33,-.30,-.42,-.33,-.20,-.16,-.11,-.13,-.10,-.23,-.24,-.20,-.31,-.31,-.13
1886,-.18,-.24,-.21,-.22,-.18,-.35,-.24,-.21,-.17,-.26,-.18,-.34,-.23,-.21,-.17,-.20,-.27,-.20
1887,-.39,-.46,-.31,-.35,-.36,-.27,-.24,-.13,-.27,-.25,-.27,-.24,-.29,-.30,-.40,-.34,-.21,-.26
1888,-.22,-.13,-.25,-.20,-.28,-.32,-.21,-.11,-.06,.01,.06,.13,-.13,-.16,-.20,-.24,-.21,.00
1889,.08,.03,.09,.00,.01,-.14,-.09,-.22,-.17,-.11,-.05,-.04,-.05,-.03,.08,.04,-.15,-.11
1890,-.23,-.33,-.35,-.37,-.43,-.32,-.29,-.38,-.38,-.40,-.27,-.19,-.33,-.32,-.20,-.38,-.33,-.35
1891,-.24,-.26,-.24,-.23,-.15,-.26,-.27,-.23,-.25,-.17,-.14,-.06,-.21,-.22,-.23,-.21,-.25,-.19
1892,-.11,-.07,-.14,-.21,-.22,-.35,-.27,-.21,-.13,-.02,-.03,-.13,-.16,-.15,-.08,-.19,-.28,-.06
1893,-.13,-.19,-.17,-.29,-.28,-.34,-.19,-.20,-.19,-.10,-.08,-.06,-.19,-.19,-.15,-.25,-.25,-.12
1894,-.20,-.23,-.28,-.36,-.36,-.39,-.27,-.22,-.23,-.17,-.03,-.08,-.23,-.23,-.16,-.33,-.29,-.14
1895,-.16,-.08,-.18,-.25,-.23,-.22,-.16,-.07,-.18,-.11,-.22,-.07,-.16,-.16,-.11,-.22,-.15,-.17
1896,-.07,-.07,-.03,-.01,-.14,-.28,-.05,-.01,-.01,.10,.10,.12,-.03,-.04,-.07,-.06,-.11,.06
1897,.08,.05,.11,.01,-.15,-.18,-.12,-.12,-.11,-.11,-.12,-.10,-.06,-.05,.08,-.01,-.14,-.11
1898,-.08,-.14,-.26,-.35,-.32,-.29,-.33,-.34,-.26,-.31,-.30,-.23,-.27,-.26,-.11,-.31,-.32,-.29
1899,-.24,-.14,-.15,-.21,-.20,-.27,-.15,-.10,-.05,-.15,-.12,-.09,-.15,-.17,-.20,-.19,-.17,-.10
1900,-.14,.01,-.08,-.10,-.16,-.10,-.10,-.11,-.10,-.05,-.02,-.12,-.09,-.09,-.07,-.12,-.10,-.05
1901,-.12,-.14,-.17,-.17,-.20,-.27,-.30,-.26,-.17,-.31,-.13,-.16,-.20,-.20,-.13,-.18,-.28,-.20
1902,-.22,-.17,-.20,-.20,-.26,-.25,-.25,-.34,-.24,-.29,-.27,-.26,-.25,-.24,-.18,-.22,-.28,-.27
1903,-.26,-.25,-.32,-.37,-.38,-.41,-.30,-.39,-.51,-.51,-.46,-.50,-.39,-.37,-.26,-.36,-.36,-.49
1904,-.53,-.59,-.60,-.52,-.62,-.50,-.46,-.47,-.49,-.41,-.29,-.34,-.48,-.50,-.54,-.58,-.48,-.39
